Date,Title,Event,Location,Details,Author,Link
07/07/2025,Biplot visualisations to map climate change in African regions,DSSV 2025,South Africa,Invited talk,presenting,
03/07/2025,Part 1: Visualising Long-Term Shifts in African Climate Conditions Using Biplots,NWU-Purdue 2025,South Africa,Invited talk,presenting,
03/07/2025,Part 2: Dynamic Biplot Animations for Temporal Climate Pattern Exploration,NWU-Purdue 2025,South Africa,Invited talk,presenting,
10/10/2023,Aspects of Multidimensional Visualisation,IDWSDS 2023,Online,Contributed talk,presenting,
22/08/2023,High-dimensional LDA biplot through the GSVD,COMPSTAT 2023,United Kingdom,Invited talk,presenting,
 06/02/2019,Applications of the Principal Surface Biplot,CARME 2019,South Africa,Invited talk,presenting,
05/07/2018,A biplot based on a principal surface ,ECDA 2018,Germany,Contributed talk,presenting,
 09/07/2018,Visualizing Multivariate Data using Principal Surfaces Biplots,DSSV 2018,Austria,Contributed talk,presenting,
08/08/2017,Biplots based on Principal Surfaces ,IFCS 2017,Japan,Invited talk,presenting,
